"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity","Method"
"0x6848d6cc54826bd285e7a9b6fc539640b27317c7f4b3af3b64ae580f63ab2555","12527173","1636536800","2021-11-10 09:33:20","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0xc1a17a436d0c5cd1eb4e501edac4f0968c779cba","51","Buy"
"0x2977daf5d4626479d55f81787990f61e5d0f807f7af46c71adb1d4a56ad287d9","12527177","1636536813","2021-11-10 09:33:33","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x7437c1f848190903c3856f29ae9b80f1fd5b890f","100","Buy"
"0xce460fa903d2c93b2aaac830e28bbba3fae60ea2d709051163b8d325266c60f6","12527182","1636536828","2021-11-10 09:33:48","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x7437c1f848190903c3856f29ae9b80f1fd5b890f","100","Buy"
"0x64f51cb610434a4ff7e77eab2c61c1f7573b154f35896a4d5b8adf1d615b2af7","12527189","1636536857","2021-11-10 09:34:17","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x7437c1f848190903c3856f29ae9b80f1fd5b890f","19","Buy"
"0xa52cf80f8d5427d838f59c00a3165e0d0271d9f4b69a73f05309c82b67a24644","12527867","1636539382","2021-11-10 10:16:22","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0xb673622e7d5ec74a491c9f2650d73e4b2dc4595c","287","Buy"
"0x62c886245645aebcc7b701ec33fc5e788a0fdcefe26456245dfbe7bbf11b935b","12527900","1636539508","2021-11-10 10:18:28","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x507ee226535b4937b1b80a2de0c1782a4464befd","40","Buy"
"0xc3c7934070d23edd3c6e40d8726f3664b04f7d2b2fc204b09025ef81c3653675","12527959","1636539711","2021-11-10 10:21:51","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x48f874d3fbbedfa92a2fe14ce76517eeebee2f90","50","Buy"
"0xfb61b9cbbcefdef3ebceb6523b9abb49ca85a8e59eed334e651fe67424eda9ef","12527981","1636539797","2021-11-10 10:23:17","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x1ada836d2c229fe286504ceea27f60359ce0252d","6","Buy"
"0x6ba6f451b0c9332258947bc406078af075679e1ccc1eab4410b32d9afeab6de7","12528426","1636541482","2021-11-10 10:51:22","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0xe76d77dd6e82eb7e273f2309851a36cb8cf0dc1b","13","Buy"
"0xb64833a63aa26708a7ab1f9234ac7c9a9c80f5f7aa7982fcd02276c3fbdc3a26","12528790","1636542810","2021-11-10 11:13:30","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x68aea26c117521aed203c1b37c20ee52e0623b9a","14","Buy"
"0x07df70e31d85c1ebfffbd1c7b7b2b955e630c92b37d7b2fafea8581926a81c79","12529109","1636544008","2021-11-10 11:33:28","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0xf1dcb95eae7bdaedaab271461e8428a55d48c8e4","289","Buy"
"0xcba91c0fb8e670c5a5a08afc79792915909377dba573ab0cc3b853a123213fb4","12529206","1636544359","2021-11-10 11:39:19","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x7f75b6c7715fe6ac44f57b3df38243f4418ac029","32","Buy"
"0x197ed5cce417160bd3891ccdcbb10ccd9f9a54e34666274e97840e568d9afa41","12531209","1636550731","2021-11-10 13:25:31","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0xeaad555371a1ea36264e9eeade46a55d83ea6045","516","Buy"
"0xb25fe32696c6f515629240bf06436558b7878075ab070b24c8f5a12a61dbf9bc","12532136","1636553614","2021-11-10 14:13:34","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0xfe7a203d93c65a40805ea0ab8647c44dff9ddfbd","70","Buy"
"0x7fa4d322b458c86a19631d7b7db5700b41b7fec4891bb37494be5a2c34b9b9d3","12532538","1636554914","2021-11-10 14:35:14","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x6fdb33f3fd59503b3173dd1f24b27a1c8829e985","37","Buy"
"0x07918e1ae0cde147de37b25f4697d853b4d30f55e7e1b61e5c5dd6ddd5506d1c","12532699","1636555399","2021-11-10 14:43:19","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0xae8e5df4c605ca7e5531bcba8f57b65dd22aa899","10","Buy"
"0xcaa92ba1b1618968f53ecff99c49294ce343d5918ed1ff08577b1ae27bbdc23e","12532780","1636555642","2021-11-10 14:47:22","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0xe0c1fb93d6f9975e05268eb294eeefb7bb1eda36","6","Buy"
"0xa2cf1936d9bcefff52c9e18bea26436a5420e00646aad844e85679801894c74f","12532821","1636555797","2021-11-10 14:49:57","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x18bbb8854a4264fa584dae839d8ec4dce42d9b0c","1,000","Buy"
"0x396692e60a221be17ecbe8a096e269dfc98f29bbec1ffdbc53fc9251927543b1","12533320","1636557662","2021-11-10 15:21:02","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0xdcba7b484b48679d50a2041f991a8fb38a023173","288","Buy"
"0x703ff5d4e33367ddafd22a5cfca18ddc9863b0da08d0fc9f6b3df297cb47826d","12533624","1636558606","2021-11-10 15:36:46","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x85c9e9c4939881e64d4ee263a4fef55b3963e1a2","1,100","Buy"
"0xfc0e3babb1c20e7ab0ac9658404fdfab38f74cb75a90e89b40bc4513ff5cca4a","12533982","1636559759","2021-11-10 15:55:59","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x347e694f5e396924f8ca8558e9d6600a27c00a07","288","Buy"
"0xbfbada0d92dd71db83682eb94bd6e6836976073263d6411d2767df5e7835b17a","12533997","1636559804","2021-11-10 15:56:44","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x121fe221b4979f7a76b3c497d2b2c61189fcd336","88","Buy"
"0x4bf41067bc50083c1c12f411da9ca4bbc40565b7510e5d49c083a372f4c91449","12534029","1636559900","2021-11-10 15:58:20","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x121fe221b4979f7a76b3c497d2b2c61189fcd336","100","Buy"
"0x94d0678a6c8b8ba35bbcd615e58fe485c47ed0459c69ba618a8a70f4aab181ee","12534064","1636560007","2021-11-10 16:00:07","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0xb4f821c2ec6da5ea9577497129a6c400f183950a","180","Buy"
"0x3b74c718aae394b4aba53901e6413108d7fa43cb274ba3174680a18d500ae5f1","12534367","1636560946","2021-11-10 16:15:46","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x1dc3c743bdd058efe4b3316a95dd65cbe4c96435","140","Buy"
"0x921072977a629fee0f5a6b32a89d971039f117f9c3b63f18cfdd782c50b28cf2","12534637","1636561857","2021-11-10 16:30:57","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x6d03c0ecdf14fe212269ed41ff0b12ef3db16250","181","Buy"
"0xe30eeb8be46881d9a74566c96827f6a114a9ac5f02a9ad13dbd6d60021fcef7f","12534728","1636562134","2021-11-10 16:35:34","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x5d9fc024f3d45976a385a622e9d26f2f6a6c451d","100","Buy"
"0x2ce1cc8fa1ee0805a6be7ea82486754fb5d7a4b6d85ea72352579def6c0ffb6a","12534830","1636562440","2021-11-10 16:40:40","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x935267ff24f462edaa140b4896cce9c8afff99a5","42","Buy"
"0x1c56395d4e34bef4c903804706e71409a8418b38ab5b0786c5791f584c5f77de","12535027","1636563038","2021-11-10 16:50:38","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0xd3c1b1c6165dfedf73aa8e2b71a752fb717bf984","289","Buy"
"0x582d3567f8063cb424f3675b5b02b346782a5d124c1bba98ed52971be1952a7a","12535165","1636563452","2021-11-10 16:57:32","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x64dc8bcda201a31260ff351ff792e1a505bc9fa2","300","Buy"
"0xb2a17f967ea11e88558710993a22c60a915941cce3c036dbb2a8ce5652796f97","12535177","1636563488","2021-11-10 16:58:08","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0xb95ef636de9161ed0f22f2cae61dac4f5a29a4ed","16","Buy"
"0x4786b5ac2d02012696ed628137661f5f13ad2df39b905ded6a8496af0e6d09b4","12535263","1636563746","2021-11-10 17:02:26","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0xd3c1b1c6165dfedf73aa8e2b71a752fb717bf984","170","Buy"
"0x356ff8d8598fc9f784e0f957bc10456c64b0aae490760c3b5e3fd28817e05426","12535424","1636564230","2021-11-10 17:10:30","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x1ecb6dfbd55e9c4903730f53803404a21b35c422","99","Buy"
"0x700db936ccb571613e04aa527a05eb0b1e4e441b3826270b501274a0b94d64a8","12535472","1636564374","2021-11-10 17:12:54","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x14333c7f0055c7191acc7b5ab41b01dc901623bc","20","Buy"
